Comment Date,Comment
"9 Jul 2014, 20:40:36",Bloody bike spokes. 
"11 Jul 2014, 23:51:18",NOM! Totally worth the sunburn. 
"17 Jul 2014, 22:14:42",Cram it in end of August then :)
"18 Jul 2014, 11:42:54",if you had a sexy folding bike you could take it with you ;)
"18 Jul 2014, 14:31:18",Not a run. Either bike ride or accidental car.Â 
"23 Jul 2014, 10:13:12",Great climbing skillz
"22 Aug 2014, 23:45:46",Did you intentionally map out a wonky triskelion?
"31 Aug 2014, 18:58:55",Oooh! Jealous!
"12 Sep 2014, 14:47:50","""PR on PhycoPath (6:32)"" Excellent segment name."
"12 Jan 2015, 15:33:08",changepoints!
"10 Apr 2015, 18:32:36",It's about time ;)
"18 Apr 2015, 19:07:56",Thanks Gabriel. Sorry I missed you! 
"19 Apr 2015, 16:53:15",Love all the squiggly bits around Halton
"26 Apr 2015, 18:02:55",Did you get tired? :( Good climbs!
"17 May 2015, 09:36:27",Pudding house? Good call :)
"26 May 2015, 20:28:53","The Ship? I've never made it that far, always get distracted by The Albion in Arnside... Good beer?"
"31 May 2015, 16:43:30",Good work :) More training than I'm doing! 
"2 Jun 2015, 22:21:25",http://www.youtube.com/watch?v=QvMQWte5pik :)
"4 Jun 2015, 22:25:53",Found some good viewing spots so I can throw things and laugh?
"12 Jul 2015, 15:08:52",Pudding house?
"21 Jul 2015, 10:07:06",Contains a large incorrect section
"5 Aug 2015, 10:31:35",Feeling the need to re-watch The Matrix now :)
"16 Aug 2015, 15:51:59","Nice!
"
"14 Sep 2015, 09:36:07","My Garmin barometric altimeter isn't temperature compensated, so when I stop it does silly things. It should look a bit more sensible now, although cliff diving with a bike does sound quite fun..."
"20 Sep 2015, 08:24:54",Yay!
"23 Sep 2015, 21:16:12",Yay!!!
"19 Oct 2015, 13:08:12",146k/h pretty good ;)
"1 Jan 2016, 16:46:18","Looked at segments. Highly likely this is a bike ride, not a run."
"1 Jan 2016, 16:48:04",Not a run.
"25 Feb 2016, 14:35:56",Birthday ride! Glad to see you've dusted off the bike ;)
"11 Apr 2016, 17:51:25",Double kudos :)
"27 Apr 2016, 10:12:20",Move to the hills!
"28 Jun 2016, 02:07:51", Parkrun? http://www.parkrun.org.uk/march/
"2 Aug 2016, 14:27:00",Jealous!
"9 Aug 2016, 15:40:42",Your world should always be hilly :)
"20 Aug 2016, 15:47:07",I did consider jumping into the canal on the way back -  wouldn't have made a difference to my soggyness.
"29 Aug 2016, 08:48:10","Pace jumps from 9:40km to 1:50km at the ends of the run, resulting in a CR which I believe is incorrect. (female CR 1 minute faster than male CR)"
"18 Sep 2016, 14:54:50",Yeah lovely. Not too cold and fabulous views. Cut short by having to jump out and wave at James part way around his race. 
"20 Sep 2016, 19:18:22",Pretty!
"26 Sep 2016, 13:06:43",Prestigio!
"29 Sep 2016, 08:36:53","But I have promises to keep, and miles to go before I sleep."
"16 Dec 2016, 12:59:55",Part of activity was in a vehicle
"24 Dec 2016, 15:27:59",She's a blast. 
"16 Jan 2017, 10:53:54","Mud. I'd have no chance on ice!
"
"19 Feb 2017, 23:15:18",Whoops
"9 Apr 2017, 06:41:09",Yay! Cycling ğŸš²ğŸŒ
"8 May 2017, 07:23:51",Pacing data is incorrect
"30 May 2017, 13:35:48",Impressed. You didn't even stop to go to the pub!
"3 Jun 2017, 18:36:54",â¤ï¸ Parkrun! Did you forget your barcode ğŸ˜‰
"9 Jun 2017, 15:42:15",Gorgeous picture. Hope you had some cake!
"11 Jun 2017, 14:27:22",triggered by effort 25345768122 on segment 4963358
"11 Jun 2017, 18:12:47",Ready for Saturday? #psyched
"15 Jun 2017, 08:15:41",Was this at USwim? I'm thinking about going along one week.
"31 Jul 2017, 08:55:33","GPS data required trimming
"
"31 Jul 2017, 08:55:34","GPS data required trimming
"
"26 Sep 2017, 08:21:40",Kudos!
"6 Jan 2018, 13:33:19",Llongyfarchiadau!
"15 Jan 2018, 13:21:28",Nope. Still drying off. I think I should have swum to the station instead...
"11 Apr 2018, 21:24:41",Great pictures!
"10 May 2018, 10:19:47","It was gorgeous, but *so* busy. 20 people in one lane. Glad to see swimming so popular. We just need a few more Lidos now!"
"18 May 2018, 10:25:54",ğŸ˜ So gorgeous around there!
"18 May 2018, 10:33:20",You should run home from work when you move too! #ultra?
"20 May 2018, 20:46:58",https://blog.strava.com/dont-be-late-the-run-commute-11164/
"26 May 2018, 23:35:23","Yes it was super hot today. I missed you too, probably because I was hiding at the back! Great run Sarah :) xx"
"31 May 2018, 20:02:47",Difficult journey back? :(
"2 Jun 2018, 16:12:14",There are sights to see in Wolverhampton?
"3 Jun 2018, 15:02:45",A great week!ğŸ‘ ğŸƒâ€â™€ï¸
"12 Jun 2018, 21:05:52",A nice mix between currents and smooth water. Varies between very shallow sections and sudden deep pools. Especially shallow this evening though!
"16 Jun 2018, 05:54:43",Pistachio and Christmas pudding. Classic!
"3 Jul 2018, 20:24:48",Congrats fab run!
"7 Jul 2018, 16:45:53",Yep - after Rimsky-Korsakov of course.
"7 Jul 2018, 16:46:12",Previous bikes include Claude (Debussy) and Antonin (Dvorak) #toocool
"11 Jul 2018, 20:58:24",Very.  
"16 Jul 2018, 11:58:54",Great work Rebecca!
"25 Jul 2018, 10:15:57",Lovely photo!
"31 Jul 2018, 21:14:43",That really is a shit ton of eggs.
"10 Aug 2018, 12:19:14",What gave it away? ;)
"10 Sep 2018, 12:38:53",Two free cuppas in two days. Great work!
"26 Sep 2018, 14:19:30",Oh yes. It's starting to get awkward.
"5 Dec 2018, 16:39:47",Look at us doing 5 runs in a row! ğŸ™Œ  If you keep going - I will!  ğŸ’™
"6 Dec 2018, 22:11:38",Woop! ğŸ™Œ
"14 Dec 2018, 09:13:27",You got *loads* of running done. That isn't failing! Amazing work CB ğŸ°ğŸƒâ€â™€ï¸ğŸ’™  
"15 Dec 2018, 21:16:11",I managed to find a dry half hour! Your half marathon was much braver!!!
"18 Jan 2019, 13:57:10",Same weather as Lancaster ğŸ˜‰
"27 Jan 2019, 15:45:08",Great run! Enjoy RED day 28 ğŸ˜‰
"1 Feb 2019, 12:47:17",Congrats! Enjoy the wine ğŸ·
"1 Feb 2019, 12:47:48",ğŸ˜
"12 Feb 2019, 14:56:03",ğŸ¶ Doggo is impressed. Happy Week 5!
"16 Feb 2019, 20:09:55",Woooohoooo!
"18 Feb 2019, 13:14:27","I did that route once and got very lost. However, it was very dark and I was without a head torch so maybe that's why...  Lovely route :)"
"24 May 2019, 16:28:28",That's a long way to go for a couple of tiles ;)
"26 May 2019, 19:57:23",Cute!
"23 Jun 2019, 17:12:38",triggered by effort 62315175610 on segment 7288906
"23 Jun 2019, 17:12:38",triggered by effort 62315175577 on segment 9126272
"23 Jun 2019, 17:12:38",triggered by effort 62315175645 on segment 11072111
"11 Jul 2019, 12:23:51",Got a road bike booked on Sat. Any suggestions? (Although touchy subject given your current status...)
"11 Jul 2019, 12:38:38",No worries - Canal du Midi it is.
"1 Aug 2019, 10:57:41",Nice one! It's hilly round Rhiw!
"4 Aug 2019, 16:05:27",Amazing well done! ğŸ•ğŸ¥‚
"20 Aug 2019, 16:46:26",Boom
"28 Aug 2019, 16:34:30",And so it begins ğŸ˜‚
"3 Sep 2019, 16:47:12",Sorry Helen
"8 Sep 2019, 22:21:11",Nom!
"27 Oct 2019, 19:11:05",Maximum effort! Great ride lovely ğŸ™Œ
"2 Feb 2020, 11:50:49",Haha nope. Just coincidence!
"6 Feb 2020, 21:08:40",I know! So weird 
"8 Feb 2020, 17:37:17",Luckily there was some fog ;)
